poiID,poiCat,poiLat,poiLon
0,City precincts,-37.821670000000005,144.96778
1,City precincts,-37.817,144.946
2,City precincts,-37.8119,144.97299999999998
3,City precincts,-37.79972,144.96694
4,City precincts,-37.80778,144.96333
5,City precincts,-37.829,144.957
6,City precincts,-37.81667,144.98333
7,City precincts,-37.7963,144.9614
8,Shopping,-37.81583,144.96444
9,Shopping,-37.8139,144.96452
10,Shopping,-37.817563899999996,144.99032780000002
11,Shopping,-37.79833,144.978472
12,Shopping,-37.84083,144.99528
13,Shopping,-37.816583,144.9655
14,Shopping,-37.8168,144.9622
15,Shopping,-37.8175,144.96583
16,Shopping,-37.8096,144.961
17,Shopping,-37.81694,144.96556
18,Shopping,-37.8151,144.9641
19,Shopping,-37.810559999999995,144.96
20,Shopping,-37.847414,144.993503
21,Shopping,-37.806965999999996,144.956693
22,Shopping,-37.81,144.9652
23,Shopping,-37.8145,144.9641
24,Shopping,-37.8064,144.963
25,Entertainment,-37.822324,144.96009899999999
26,Entertainment,-37.868036,144.976369
27,Entertainment,-37.821044,144.95801699999998
28,Entertainment,-37.784762,144.95209499999999
29,Public galleries,-37.826496999999996,144.96701399999998
30,Public galleries,-37.7975,144.964111
31,Public galleries,-37.822595,144.968634
32,Institutions,-37.81384,144.963028
33,Institutions,-37.827939,144.976939
34,Institutions,-37.8297,144.9755
35,Institutions,-37.815145,144.966777
36,Institutions,-37.80806,144.96528
37,Institutions,-37.8087,144.966
38,Institutions,-37.812153,144.956794
39,Institutions,-37.813153,144.974121
40,Institutions,-37.811054999999996,144.97329
41,Institutions,-37.809801,144.964787
42,Institutions,-37.814132,144.957932
43,Institutions,-37.827391,144.970447
44,Structures,-37.82028,144.96833
45,Structures,-37.821670000000005,144.96444
46,Structures,-37.8256,144.9541
47,Structures,-37.8110723,144.9368763
48,Structures,-37.804728000000004,144.971225
49,Structures,-37.830434000000004,144.97325800000002
50,Structures,-37.816853,144.967384
51,Structures,-37.81,144.97611
52,Sports stadiums,-37.82528,144.98389
53,Sports stadiums,-37.816390000000006,144.9475
54,Sports stadiums,-37.790279999999996,144.9125
55,Sports stadiums,-37.821112,144.97741000000002
56,Sports stadiums,-37.82278,144.98167
57,Sports stadiums,-37.82,144.98333
58,Sports stadiums,-37.84972,144.96833
59,Sports stadiums,-37.84667,144.96611000000001
60,Sports stadiums,-37.84028,144.965
61,Sports stadiums,-37.8123777,144.93556740000002
62,Sports stadiums,-37.82472,144.98111
63,Sports stadiums,-37.821670000000005,144.97833
64,Sports stadiums,-37.97,145.03
65,Sports stadiums,-37.78389,144.96167
66,Parks and spaces,-37.846,144.97
67,Parks and spaces,-37.820370000000004,144.971938
68,Parks and spaces,-37.818329999999996,144.9725
69,Parks and spaces,-37.80611,144.97028
70,Parks and spaces,-37.816,144.967
71,Parks and spaces,-37.817797999999996,144.96871399999998
72,Parks and spaces,-37.8125641,144.9803925
73,Parks and spaces,-37.8105,144.9544
74,Parks and spaces,-37.8282598,144.97758149999999
75,Parks and spaces,-37.8218,144.9716
76,Parks and spaces,-37.8334,144.98033
77,Parks and spaces,-37.790183299999995,144.9511667
78,Parks and spaces,-37.814158,144.976194
79,Parks and spaces,-37.818043700000004,144.9852312
80,Transport,-37.8194778,144.932125
81,Transport,-37.819744,144.968516
82,Transport,-37.818078,144.96681
83,Transport,-37.67333,144.84333
84,Transport,-37.81,144.96278
85,Transport,-37.8184,144.9524
86,Transport,-37.829440000000005,144.89806000000002
87,Transport,-37.85194,144.90833
