poiID,poiCat,poiLon,poiLat
1,Sport,-79.379243379063,43.64318250142281
2,Sport,-79.41863385714308,43.63277161740573
3,Sport,-79.3800452078488,43.66217527180223
4,Sport,-79.38928974410585,43.641297368457444
6,Cultural,-79.39239594093709,43.65366205295312
7,Cultural,-79.37732735752459,43.647150975158695
8,Cultural,-79.3853489798394,43.64238526267252
9,Cultural,-79.33916950000024,43.71644713669081
10,Cultural,-79.36110748265887,43.66706691907516
11,Cultural,-79.3944584713709,43.66718257115105
12,Cultural,-79.18221148856527,43.82008013305617
13,Cultural,-79.40936380912937,43.67815669398353
14,Amusement,-79.41700068794327,43.633924191489356
15,Amusement,-79.3735729115044,43.61983586725666
16,Amusement,-79.38706547902999,43.642849137630805
17,Amusement,-79.41601125371233,43.63256282673258
18,Amusement,-79.45080761538462,43.6371833846154
19,Beach,-79.3782267477478,43.62169749549551
20,Beach,-79.46238176404492,43.64655716853935
21,Beach,-79.38045327151268,43.65627400696254
22,Beach,-79.38370190118991,43.652478209270036
23,Shopping,-79.3798840401936,43.653868152197106
24,Shopping,-79.38232002042837,43.63862138326839
25,Shopping,-79.4011678236331,43.65474784303318
26,Shopping,-79.45268321153846,43.725760711538456
27,Shopping,-79.3909345777776,43.67010353968252
28,Structure,-79.38118417735065,43.65218102670948
29,Structure,-79.39126472274569,43.66213848048437
30,Structure,-79.3805837906372,43.64565054031221
